"A","P","PR","CP","CI","D"
35.95,4200,217C,31400,miss,"Immediate"
32.27,10000,3100,86100,mister,"Immediate"
32.27,215106,3100,86100,mister,"Immediate"
33.75,40000,2100,13012,mister,"Immediate"
33.68,40000,2100,13012,mister,"Immediate"
33.68,72714,2100,13012,mister,"Immediate"
33.68,20000,2100,13012,mister,"Immediate"
37.39,182915.31,5500,70190,miss,"Immediate"
37.12,5000,5400,92000,miss,"Immediate"
37.12,256666,5400,92000,miss,"Immediate"
37.12,10000,5400,92000,miss,"Immediate"
37.12,8000,5400,92000,miss,"Immediate"
24.94,258228.5,4300,92800,miss,"Immediate"
24.94,258228.5,4300,92800,miss,"Immediate"
29.06,258228.5,4300,92800,miss,"Differe"
29.06,258228.5,4300,92800,miss,"Differe"
32.3,144990.45,3600,93160,mister,"Immediate"
32.3,108524.02,3600,93160,mister,"Immediate"
32.3,144990.45,3600,93160,mister,"Immediate"
32.3,108524.02,3600,93160,mister,"Immediate"
32.3,144990.45,3600,93160,mister,"Immediate"
32.3,108524.02,3600,93160,mister,"Immediate"
40.94,35711.54,4500,99999,miss,"Immediate"
40.94,35711.54,4500,99999,miss,"Immediate"
40.69,35711.54,4500,99999,miss,"Immediate"
40.69,35711.54,4500,99999,miss,"Immediate"
26.69,15000,4700,95690,mister,"Immediate"
26.69,15000,4700,95690,mister,"Immediate"
26.69,15000,4700,95690,mister,"Immediate"
26.69,15000,4700,95690,mister,"Immediate"
26.69,18000,4700,95690,mister,"Immediate"
38.9,100000,4700,07800,mister,"Immediate"
38.9,172168,4700,07800,mister,"Immediate"
38.9,172929.71,4700,07800,mister,"Immediate"
38.9,172169.19,4700,07800,mister,"Immediate"
36.06,172168,4700,07800,mister,"Immediate"
36.06,172929.71,4700,07800,mister,"Immediate"
36.06,172169.19,4700,07800,mister,"Immediate"
44.56,250119,3100,86280,mister,"Immediate"
57.12,270821.26,3600,78990,mrs,"Differe"
57.12,270821.26,3600,78990,mrs,"Differe"
57.12,275548.84,3600,78990,mrs,"Differe"
57.12,270821.26,3600,78990,mrs,"Differe"
57.12,270821.26,3600,78990,mrs,"Differe"
57.12,275548.84,3600,78990,mrs,"Differe"
71.36,40000,7000,29870,mrs,"Differe"
71.36,20000,7000,29870,mrs,"Differe"
71.36,40000,7000,29870,mrs,"Differe"
71.36,20000,7000,29870,mrs,"Differe"
45.14,129940.48,4700,78700,mister,"Differe"
52.49,32000,6100,93290,mister,"Immediate"
58.98,49000,3600,44420,mister,"Differe"
58.98,44000,3600,44420,mister,"Differe"
53.5,168050,5500,60420,mrs,"Differe"
53.5,168050,5500,60420,mrs,"Differe"
53.5,168050,5500,60420,mrs,"Differe"
29.39,150520,3100,92330,miss,"Immediate"
29.39,150520,3100,92330,miss,"Immediate"
54.19,30000,5400,01130,mrs,"Immediate"
54.19,100000,5400,01130,mrs,"Immediate"
30.31,167497,5400,93110,miss,"Immediate"
40.5,167469,5600,83560,miss,"Immediate"
32.32,85403,3600,69590,mister,"Immediate"
32.32,85403,3600,69590,mister,"Immediate"
32.32,190140,3600,69590,mister,"Immediate"
32.32,101670,3600,69590,mister,"Immediate"
32.32,85403,3600,69590,mister,"Immediate"
32.32,85403,3600,69590,mister,"Immediate"
32.32,190140,3600,69590,mister,"Immediate"
32.32,101670,3600,69590,mister,"Immediate"
32.32,85403,3600,69590,mister,"Immediate"
32.32,85403,3600,69590,mister,"Immediate"
32.32,190140,3600,69590,mister,"Immediate"
32.32,101670,3600,69590,mister,"Immediate"
44.4,25088.47,5400,13115,mister,"Immediate"
44.4,79101.3,5400,13115,mister,"Immediate"
44.4,25088.47,5400,13115,mister,"Immediate"
44.4,79101.3,5400,13115,mister,"Immediate"
35.02,154335,4700,74250,mister,"Immediate"
41.53,67694,8100,06100,mrs,"Immediate"
40.5,67694,8100,06100,mrs,"Immediate"
42.8,123665,3600,26750,mister,"Immediate"
53.62,7800,2000,77290,mister,"Immediate"
53.62,7800,2000,77290,mister,"Immediate"
53.62,27000,2000,77290,mister,"Immediate"
53.62,7800,2000,77290,mister,"Immediate"
53.62,7800,2000,77290,mister,"Immediate"
53.62,27000,2000,77290,mister,"Immediate"
53.62,7800,2000,77290,mister,"Immediate"
53.62,7800,2000,77290,mister,"Immediate"
53.62,27000,2000,77290,mister,"Immediate"
39.86,250500,5500,93140,mrs,"Immediate"
38,250500,5500,93140,mrs,"Immediate"
34.73,250000,5400,67760,mrs,"Differe"
34.73,180849.91,5400,67760,mrs,"Differe"
34.73,239450,5400,67760,mrs,"Differe"
25.33,183000,5400,28210,mister,"Immediate"
35.84,159294,3600,75018,mister,"Immediate"
35.84,159294,3600,75018,mister,"Immediate"
35.84,261406,3600,75018,mister,"Immediate"
35.84,153974.19,3600,75018,mister,"Immediate"
35.84,249000,3600,75018,mister,"Immediate"
35.84,159294,3600,75018,mister,"Immediate"
35.84,159294,3600,75018,mister,"Immediate"
35.84,261406,3600,75018,mister,"Immediate"
35.84,153974.19,3600,75018,mister,"Immediate"
35.84,249000,3600,75018,mister,"Immediate"
32.95,25813,4700,33880,mister,"Differe"
38.16,45725.28,5400,45200,miss,"Differe"
38.31,192257.51,4700,69360,mrs,"Immediate"
38.31,86567.66,4700,69360,mrs,"Immediate"
38.31,192257.51,4700,69360,mrs,"Immediate"
38.31,86567.66,4700,69360,mrs,"Immediate"
62.16,30000,5500,38190,mister,"Immediate"
57.93,15000,2100,94000,mister,"Immediate"
57.93,10000,2100,94000,mister,"Immediate"
46.03,5000,2000,94700,mister,"Immediate"
46.03,20000,2000,94700,mister,"Immediate"
46.03,73333.79,2000,94700,mister,"Immediate"
46.03,10000,2000,94700,mister,"Immediate"
46.03,5000,2000,94700,mister,"Immediate"
46.03,20000,2000,94700,mister,"Immediate"
46.03,73333.79,2000,94700,mister,"Immediate"
46.03,10000,2000,94700,mister,"Immediate"
46.03,5000,2000,94700,mister,"Immediate"
46.03,20000,2000,94700,mister,"Immediate"
46.03,73333.79,2000,94700,mister,"Immediate"
46.03,10000,2000,94700,mister,"Immediate"
36.83,201800,2200,14800,mister,"Immediate"
29.38,349900,3100,75015,miss,"PIJ0001"
38.21,10500,5400,76290,mrs,"Immediate"
52.02,25283,4700,20167,mister,"Immediate"
52.02,25000,4700,20167,mister,"Immediate"
52.02,25283,4700,20167,mister,"Immediate"
52.02,25000,4700,20167,mister,"Immediate"
42.5,30000,2300,13010,miss,"Immediate"
42.5,30000,2300,13010,miss,"Immediate"
35.92,131733,5100,21440,mister,"Immediate"
35.92,131733,5100,21440,mister,"Immediate"
32.58,25560,4700,31530,mister,"Differe"
32.58,227057,4700,31530,mister,"Differe"
32.58,25560,4700,31530,mister,"Differe"
32.58,227057,4700,31530,mister,"Differe"
44.12,25560,4700,31530,mister,"Differe"
44.12,227057,4700,31530,mister,"Differe"
44.12,25560,4700,31530,mister,"Differe"
44.12,227057,4700,31530,mister,"Differe"
57.6,200000,8100,35170,mrs,"Immediate"
57.6,250000,8100,35170,mrs,"Immediate"
57.6,200000,8100,35170,mrs,"Immediate"
57.6,400000,8100,35170,mrs,"Immediate"
57.6,200000,8100,35170,mrs,"Immediate"
57.6,250000,8100,35170,mrs,"Immediate"
57.6,200000,8100,35170,mrs,"Immediate"
57.6,400000,8100,35170,mrs,"Immediate"
54.62,250000,8100,35170,mrs,"Immediate"
54.62,200000,8100,35170,mrs,"Immediate"
54.62,200000,8100,35170,mrs,"Immediate"
54.62,250000,8100,35170,mrs,"Immediate"
54.62,200000,8100,35170,mrs,"Immediate"
54.62,250000,8100,35170,mrs,"Immediate"
54.62,250000,8100,35170,mrs,"Immediate"
54.62,200000,8100,35170,mrs,"Immediate"
54.62,200000,8100,35170,mrs,"Immediate"
54.62,250000,8100,35170,mrs,"Immediate"
54.62,200000,8100,35170,mrs,"Immediate"
54.62,250000,8100,35170,mrs,"Immediate"
55.17,428143.79,3100,33000,mrs,"PIJ0001"
55.17,213821.19,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,15000,3100,33000,mrs,"PIJ0001"
55.17,109011.89,3100,33000,mrs,"PIJ0001"
55.17,428143.79,3100,33000,mrs,"PIJ0001"
55.17,213821.19,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,15000,3100,33000,mrs,"PIJ0001"
55.17,109011.89,3100,33000,mrs,"PIJ0001"
55.17,428143.79,3100,33000,mrs,"PIJ0001"
55.17,213821.19,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,15000,3100,33000,mrs,"PIJ0001"
55.17,109011.89,3100,33000,mrs,"PIJ0001"
55.17,428143.79,3100,33000,mrs,"PIJ0001"
55.17,213821.19,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,547742.37,3100,33000,mrs,"PIJ0001"
55.17,15000,3100,33000,mrs,"PIJ0001"
55.17,109011.89,3100,33000,mrs,"PIJ0001"
57.26,13000,6100,78300,mister,"Differe"
37.33,20490.17,3600,31000,mister,"Immediate"
37.33,20490.17,3600,31000,mister,"Immediate"
43.23,385364,3600,75017,mister,"PIJ0001"
43.23,385364,3600,75017,mister,"PIJ0001"
43.23,385364,3600,75017,mister,"Immediate"
43.23,385364,3600,75017,mister,"Immediate"
43.23,385364,3600,75017,mister,"Immediate"
43.23,385364,3600,75017,mister,"Immediate"
52.06,456000,4600,75012,miss,"Immediate"
50.66,456000,4600,75012,miss,"PIJ0001"
50.66,456000,4600,75012,miss,"PIJ0001"
32.79,123515,5400,40230,miss,"Differe"
60.88,55000,3300,75012,miss,"Immediate"
60.88,71000,3300,75012,miss,"Immediate"
60.88,91000,3300,75012,miss,"Immediate"
60.47,20000,3300,75012,miss,"Immediate"
43.41,3000,2000,95500,mister,"Immediate"
65.58,267627.99,3600,06560,mister,"Differe"
65.58,267627.99,3600,06560,mister,"Differe"
65.58,255500,3600,06560,mister,"Differe"
45.55,240927,3600,59800,mrs,"Differe"
46.22,40000,2000,20260,mrs,"Immediate"
46.22,150000,2000,20260,mrs,"Immediate"
46.22,40000,2000,20260,mrs,"Immediate"
46.22,150000,2000,20260,mrs,"Immediate"
34.97,108147,5400,27300,miss,"Immediate"
34.97,108147,5400,27300,miss,"Immediate"
51.98,209680,3600,77240,mister,"Immediate"
51.98,209680,3600,77240,mister,"Immediate"
51.98,209680,3600,77240,mister,"Immediate"
51.98,209680,3600,77240,mister,"Immediate"
44.48,35000,3100,58320,mister,"Immediate"
52.14,30000,2200,87410,mrs,"Immediate"
52.14,19900,2200,87410,mrs,"Immediate"
52.14,30000,2200,87410,mrs,"Immediate"
